,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
FR_Start,GMT,22:11:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:12:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.023150971204306092,0.022727931368433128,0.02254977162072337,0.022655704980466516,0.02362003634189414,0.025444012357273373,0.025171203286150145,0.0241471074761468,0.021684822583595945,0.020250371930089685,0.017293056088759473,0.015256023228751683,0.014350072165220837,0.012345060393684708,0.00988165030579716,0.007346854861895275,0.003501568166019302,0.0027717078810404173,0.00018709438734815595,-0.00024250878959819166,8.038699628943633e-05,8.225369239297161e-05,0.0005519762024878205,0.0010439673860309646,0.0013777438258632843,3.0452541322338675e-05,-0.0022042845913501866,-0.00240978398854931,-0.0023426354933190566,-0.004587785758480942,-0.005032253957955307,-0.0046451810330330745,-0.0029131416119842035,0.0018956474444781547,0.006646812253338704,0.00950360376967059,0.012126645694275736,0.015048495348038246,0.01815919066774878,0.02051681176922559,0.02262520324944542,0.025127164072605734,0.02660234328345191,0.02958528271770403,0.030805003629237975,0.031548836426437556,0.03024669591134107,0.02988547230590014,0.030134729426839483,0.030348576123455914,0.02996077865829142,0.02867546183776064,0.028494348929717115,0.028043231918151397,0.027702281689652615,0.02636615156715531,0.026972901503294986,0.02868700864883289,0.030546604391673022,0.031270924636475836,0.029805591839675794,0.0292936088644797,0.028399193917700183,0.027354939312764538,0.025035396104799865,0.021556096570454167,0.017028444978500718,0.014847196145380057,0.014058204286459835,0.01340316032481012,0.014133849801600259,0.016117754803042627,0.01776839268168644,0.019114489911280248,0.021406041498119525,0.022537580094875723,0.023462666354050907,0.021538062889864484,0.021068924419790136,0.02193512010918469,0.02207955607975647,0.021069709688497616,0.02029692736457032,0.01977311341491756,0.01921379890309414,0.01877426231332356,0.018974724303429807,0.01940864179143752,0.020280626163969515,0.020503204009736237,0.020297463608376403,0.020245446431426426,0.020270681973274984,0.020073717026109248,0.020075748947083857,0.019801008787154687,0.019141842928670768,0.018526902670467273,0.017263915592015348,0.016380451629856883,0.01639889322240162,0.01596265048347409,0.014985224689961225,0.013381670850803471,0.012171960587529769,0.010753453638753598,0.009257184463175108,0.008467765595298191,0.008368527644330404,0.008394572135168477,0.007586859103599494,0.0031327168361829014,0.00017201375967161147,-0.002581072253128578,-0.005749632060721563,-0.008275713160834601,-0.00770083077327339,-0.00518642634384376,-0.004734547361912567,-0.0021639887720674568,-0.0013802760882808886,0.0022267527866909396,0.00402712681774199,0.006354002892396797,0.011223676818521159,0.013699278432256356,0.01611057280266546,0.015091759987196094,0.015071944938293332,0.014880614370491775,0.01586145623565819,0.01646124875216,0.015899304965150636,0.015923153300799988,0.01843126794176912,0.02130847873613569,0.022160481533910613,0.02165009354029158,0.018867244850433805,0.016122852938600725,0.013857519243374422,0.012566179228526052,0.014395322892549356,0.01697763014877406,0.016813264547289677,0.014761600328504574,0.011954706985820573,0.012122604004848422,0.011286807686546167,0.01134577082493303,0.00927546182150573,0.007898016481778096,0.008352822270180797,0.005852425491454883,0.003760211845205259,0.0029829524202132367,0.003925672468763741,0.004108508308295324,0.005793776307774999,0.004782569064179203,0.00436700837802894,0.00623700931318322,0.006152594454889221,0.004355811424026755,0.003875742212153098,0.001668658573272382,-0.0005774554698198234,-0.002032521957250155,-0.004519220647668955,-0.008255951583536435,-0.00974877566001888,-0.009622704130105209,-0.01245494836052768,-0.015244869052033174,-0.017627171118430887,-0.020838629857600294,-0.022980517478698538,-0.02466639008925017,-0.02652884579905607,-0.02808618031096207,-0.029127568837891426,-0.027683548294922804,-0.02708936265810281,-0.025782525808362756,-0.02377210194656155,-0.02091190734453723,-0.02158294389924123,-0.020218603685919757,-0.017674255157916947,-0.014665835740195261,-0.012285573233572813,-0.012093932530464604,-0.01093710033697486,-0.008940637147253332,-0.007409651914331596
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.0,0.999,1.0,1.0,0.999,0.999,1.0,0.999,1.0,0.999,0.999,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,1.0,0.999,0.999,0.999,0.999,1.0,0.999,1.0,1.0,0.999,1.0,1.0,0.999,1.0,0.999,1.0,0.999,0.999,1.0,1.0,1.0,1.0,1.0,0.999,0.999,1.0,1.0,0.999,1.0,0.999,1.0,0.999,1.0,1.0,0.999,1.0,1.0,0.999,1.0,0.999,0.999,1.0,1.0,0.999,1.0,1.0,1.0,0.999,0.999,1.0,1.0,1.0,0.999,1.0,1.0,1.0,0.999,0.999,1.0,1.0,0.999,0.999,0.999,1.0,1.0,1.0,0.999,1.0,0.999,0.999,1.0,0.999,0.999,0.999,1.0,0.999,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.999,1.0,0.999,1.0,1.0,1.0,0.999,1.0,1.0,0.999,1.0,1.0,0.999,1.0,1.0,0.999,1.0,0.999,1.0,0.999,0.999,0.999,0.999,0.999,0.999,1.0,1.0,1.0,0.999,1.0,1.0,1.0,0.999,0.999,0.999,0.999,1.0,1.0,0.999,0.999,0.999,0.999,0.999,1.0,0.999,0.999,1.0,0.999,1.0,0.999,1.0,0.999,1.0,0.999,1.0,1.0,1.0,0.999,0.999,1.0,1.0,0.999,1.0,0.999,0.999,0.999,0.999,0.999,0.999,1.0,1.0,1.0,0.999,1.0,0.999,1.0,1.0,0.999,0.999,1.0,0.999,1.0,0.999,1.0,1.0,1.0,0.999,0.999,0.999
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8502197265625,998.8746948242188,998.8690185546875,998.8646850585938,998.8461303710938,998.8621826171875,998.8627319335938,998.8461303710938,998.8630981445312,998.8806762695312,998.86083984375,998.8602905273438,998.8674926757812,998.8693237304688,998.8743286132812,998.8828735351562,998.8527221679688,998.8831787109375,998.8489379882812,998.8602905273438,998.8493041992188,998.846435546875,998.8561401367188,998.8602905273438,998.8709106445312,998.8753051757812,998.8753051757812,998.8486328125,998.88818359375,998.8618774414062,998.8715209960938,998.8815307617188,998.850830078125,998.84326171875,998.8565673828125,998.8781127929688,998.87060546875,998.8533325195312,998.8756103515625,998.872802734375,998.8486328125,998.8665161132812,998.8466796875,998.8809814453125,998.8630981445312,998.8884887695312,998.854248046875,998.8634033203125,998.8790893554688,998.8890991210938,998.8844604492188,998.8546142578125,998.8787231445312,998.8850708007812,998.8862915039062,998.8565673828125,998.8737182617188,998.8652954101562,998.85498046875,998.85498046875,998.8568725585938,998.8595581054688,998.8803100585938,998.8746948242188,998.8815307617188,998.8850708007812,998.8837890625,998.8681030273438,998.8646850585938,998.8693237304688,998.8446044921875,998.8461303710938,998.8872680664062,998.8565673828125,998.8800048828125,998.885986328125,998.8884887695312,998.8637084960938,998.8521118164062,998.84326171875,998.8812866210938,998.8527221679688,998.8592529296875,998.8768310546875,998.850830078125,998.8511352539062,998.8442993164062,998.849609375,998.875,998.8602905273438,998.8627319335938,998.8480224609375,998.87255859375,998.8466796875,998.8812866210938,998.858642578125,998.868408203125,998.8797607421875,998.847412109375,998.8446044921875,998.8818359375,998.8834228515625,998.8862915039062,998.8486328125,998.8897705078125,998.8630981445312,998.8521118164062,998.8524169921875,998.8539428710938,998.87060546875,998.8872680664062,998.8602905273438,998.8781127929688,998.8862915039062,998.8818359375,998.8558349609375,998.8539428710938,998.8768310546875,998.84326171875,998.8897705078125,998.8737182617188,998.8856811523438,998.8521118164062,998.8471069335938,998.882568359375,998.843017578125,998.8869018554688,998.8536376953125,998.8771362304688,998.8671875,998.8571166992188,998.8834228515625,998.8687133789062,998.8527221679688,998.8505249023438,998.8618774414062,998.8712158203125,998.88818359375,998.8884887695312,998.8840942382812,998.8595581054688,998.8448486328125,998.8436279296875,998.8731079101562,998.85498046875,998.8715209960938,998.8580932617188,998.8656005859375,998.8637084960938,998.8818359375,998.8502197265625,998.8602905273438,998.8850708007812,998.8778686523438,998.8768310546875,998.8505249023438,998.8737182617188,998.84326171875,998.8812866210938,998.882568359375,998.8527221679688,998.8740234375,998.8768310546875,998.8699951171875,998.8862915039062,998.885986328125,998.858642578125,998.8746948242188,998.875,998.8759765625,998.8448486328125,998.8681030273438,998.8427124023438,998.8759765625,998.8800048828125,998.8448486328125,998.857421875,998.87255859375,998.8618774414062,998.8900756835938,998.8565673828125,998.889404296875,998.8687133789062,998.8533325195312,998.855224609375,998.8853759765625,998.8442993164062,998.8427124023438,998.8618774414062,998.8458251953125,998.8599853515625,998.8699951171875,998.8599853515625,998.8687133789062,998.85302734375
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
