,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
Altitude,-0.1049868768,-0.11482939650000001,-0.11482939650000001,-0.1181102364,-0.1181102364,-0.131233596,-0.131233596,-0.131233596,-0.0721784778,-0.0721784778,-0.0262467192,-0.0262467192,-0.0262467192,0.0,0.0,0.0393700788,0.0393700788,0.0393700788,0.0754593177,0.0754593177,0.1017060369,0.1017060369,0.1017060369,0.1213910763,0.1213910763,0.1443569556,0.1443569556,0.1443569556,0.1738845147,0.1738845147,0.19356955409999999,0.19356955409999999,0.19356955409999999,0.21981627330000003,0.21981627330000003,0.2427821526,0.2427821526,0.2427821526,0.2657480319,0.2657480319,0.2657480319,0.295275591,0.295275591,0.3149606304,0.3149606304,0.3149606304,0.33136482990000005,0.33136482990000005,0.3346456698,0.3346456698,0.3346456698,0.3412073496,0.3412073496,0.35761154910000004,0.35761154910000004,0.35761154910000004,0.36417322890000003,0.36417322890000003,0.37401574860000003,0.37401574860000003,0.37401574860000003,0.37401574860000003,0.37401574860000003,0.3838582683,0.3838582683,0.3838582683,0.3904199481,0.3904199481,0.3904199481,0.2066929137,0.2066929137,0.0721784778,0.0721784778,0.032808399,0.032808399,0.032808399,0.0360892389,0.0360892389,0.0360892389,0.05577427830000001,0.05577427830000001,0.0721784778,0.0721784778,0.0721784778,0.0754593177,0.0754593177,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08858267730000001,0.08858267730000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.0787401576,0.0787401576,0.0787401576,0.05577427830000001,0.05577427830000001,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0590551182,0.0590551182,0.0787401576,0.0787401576,0.0787401576,0.098425197,0.098425197,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.1410761157,0.1410761157,0.1574803152,0.1574803152,0.1574803152,0.1738845147,0.1738845147,0.1673228349,0.1673228349,0.1673228349,0.08858267730000001,0.08858267730000001,0.0426509187,0.0426509187,0.0426509187,0.0426509187,0.0262467192,0.0196850394,0.0164041995,0.0131233596,0.0098425197,0.0098425197,0.0131233596,0.0196850394,0.0262467192,0.032808399,0.032808399,0.0360892389,0.0393700788,0.0426509187,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.0426509187,0.0393700788,0.0360892389,0.0393700788,0.0393700788,0.0360892389,0.0262467192,0.0196850394,0.0098425197,0.0032808399,0.0,0.0,0.0032808399,0.0032808399,0.0032808399,0.0,0.0,-0.022965879300000002,-0.022965879300000002,-0.022965879300000002,-0.0426509187,-0.0426509187,-0.0623359581,-0.0623359581,-0.0623359581,-0.0853018374,-0.0853018374,-0.0853018374,-0.1049868768,-0.1049868768,-0.1049868768,-0.1049868768,-0.08858267730000001,-0.08858267730000001,-0.08858267730000001,-0.0853018374,-0.0853018374,-0.045931758600000004,-0.045931758600000004,-0.045931758600000004,-0.022965879300000002,-0.022965879300000002,0.0065616798
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027388103306293488,0.027690596878528595,0.027690596878528595,0.027380051091313362,0.027380051091313362,0.027238596230745316,0.027238596230745316,0.027238596230745316,0.027364211156964302,0.027364211156964302,0.02761317975819111,0.02761317975819111,0.02761317975819111,0.02732524648308754,0.02732524648308754,0.027331076562404633,0.027331076562404633,0.027331076562404633,0.02742794342339039,0.02742794342339039,0.02756444551050663,0.02756444551050663,0.02756444551050663,0.027252424508333206,0.027252424508333206,0.027140356600284576,0.027140356600284576,0.027140356600284576,0.027248868718743324,0.027248868718743324,0.02755860611796379,0.02755860611796379,0.02755860611796379,0.027267996221780777,0.027267996221780777,0.02721884660422802,0.02721884660422802,0.02721884660422802,0.027264220640063286,0.027264220640063286,0.027264220640063286,0.02744070254266262,0.02744070254266262,0.027092022821307182,0.027092022821307182,0.027092022821307182,0.027023181319236755,0.027023181319236755,0.027022643014788628,0.027022643014788628,0.027022643014788628,0.02730223909020424,0.02730223909020424,0.026992572471499443,0.026992572471499443,0.026992572471499443,0.026952341198921204,0.026952341198921204,0.026988202705979347,0.026988202705979347,0.026988202705979347,0.02714099921286106,0.02714099921286106,0.026875490322709084,0.026875490322709084,0.026875490322709084,0.026915093883872032,0.026915093883872032,0.026915093883872032,0.02698490209877491,0.02698490209877491,0.027312306687235832,0.027312306687235832,0.027223287150263786,0.027223287150263786,0.027223287150263786,0.027253324165940285,0.027253324165940285,0.027253324165940285,0.027425503358244896,0.027425503358244896,0.027592172846198082,0.027592172846198082,0.027592172846198082,0.027319222688674927,0.027319222688674927,0.027346432209014893,0.027346432209014893,0.027346432209014893,0.02747383341193199,0.02747383341193199,0.0275985486805439,0.0275985486805439,0.0275985486805439,0.027389906346797943,0.027389906346797943,0.027482759207487106,0.027482759207487106,0.027482759207487106,0.027637511491775513,0.027637511491775513,0.027864176779985428,0.027864176779985428,0.027864176779985428,0.027676083147525787,0.027676083147525787,0.027607765048742294,0.027607765048742294,0.027607765048742294,0.027624834328889847,0.027624834328889847,0.027440497651696205,0.027440497651696205,0.027440497651696205,0.027428075671195984,0.027428075671195984,0.027433408424258232,0.027433408424258232,0.027433408424258232,0.02754434570670128,0.02754434570670128,0.027681004256010056,0.027681004256010056,0.027681004256010056,0.027309918776154518,0.027309918776154518,0.027247218415141106,0.027247218415141106,0.027247218415141106,0.027242600917816162,0.027242600917816162,0.026997067034244537,0.026997067034244537,0.026997067034244537,0.026997067034244537,0.027141563594341278,0.02724147029221058,0.027232268825173378,0.027280665934085846,0.027243945747613907,0.027242645621299744,0.02717120572924614,0.027209686115384102,0.027169296517968178,0.02711043506860733,0.02699742466211319,0.02699260041117668,0.026882866397500038,0.026931308209896088,0.02680499292910099,0.026822976768016815,0.0267828069627285,0.026665613055229187,0.02673346735537052,0.026541078463196754,0.026606649160385132,0.026712369173765182,0.026765864342451096,0.026876360177993774,0.026902591809630394,0.026965966448187828,0.026960378512740135,0.026988618075847626,0.02696319669485092,0.026932571083307266,0.026932571083307266,0.026932571083307266,0.026982834562659264,0.026982834562659264,0.02708936482667923,0.02708936482667923,0.02708936482667923,0.027046453207731247,0.027046453207731247,0.02675238996744156,0.02675238996744156,0.02675238996744156,0.02693345583975315,0.02693345583975315,0.02693345583975315,0.026995426043868065,0.026995426043868065,0.02722390741109848,0.02722390741109848,0.026970556005835533,0.026970556005835533,0.026970556005835533,0.026977380737662315,0.026977380737662315,0.02717014029622078,0.02717014029622078,0.02717014029622078,0.027291078120470047,0.027291078120470047,0.027291078120470047
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,22:11:57,22:11:57,22:11:57,22:11:58,22:11:58,22:11:58,22:11:58,22:11:59,22:11:59,22:11:59,22:11:59,22:12:00,22:12:00,22:12:00,22:12:00,22:12:01,22:12:01,22:12:01,22:12:01,22:12:02,22:12:02,22:12:02,22:12:02,22:12:03,22:12:03,22:12:03,22:12:03,22:12:04,22:12:04,22:12:04,22:12:04,22:12:05,22:12:05,22:12:05,22:12:05,22:12:06,22:12:06,22:12:06,22:12:06,22:12:07,22:12:07,22:12:07,22:12:07,22:12:08,22:12:08,22:12:08,22:12:08,22:12:09,22:12:09,22:12:09,22:12:09,22:12:10,22:12:10,22:12:10,22:12:10,22:12:11,22:12:11,22:12:11,22:12:11,22:12:12,22:12:12,22:12:12,22:12:12,22:12:13,22:12:13,22:12:13,22:12:13,22:12:14,22:12:14,22:12:14,22:12:14,22:12:15,22:12:15,22:12:15,22:12:15,22:12:16,22:12:16,22:12:16,22:12:16,22:12:17,22:12:17,22:12:17,22:12:17,22:12:17,22:12:17,22:12:18,22:12:18,22:12:18,22:12:18,22:12:18,22:12:18,22:12:18,22:12:18,22:12:18,22:12:18,22:12:19,22:12:19,22:12:19,22:12:19,22:12:19,22:12:19,22:12:19,22:12:19,22:12:19,22:12:19,22:12:20,22:12:20,22:12:20,22:12:20,22:12:20,22:12:20,22:12:20,22:12:21,22:12:21,22:12:21,22:12:21,22:12:22,22:12:22,22:12:22,22:12:22,22:12:23,22:12:23,22:12:23,22:12:23,22:12:24,22:12:24,22:12:24,22:12:24,22:12:25,22:12:25,22:12:25,22:12:25,22:12:26,22:12:26,22:12:26,22:12:26,22:12:27,22:12:27,22:12:27,22:12:27,22:12:28,22:12:28,22:12:28,22:12:28,22:12:29,22:12:29,22:12:29,22:12:29,22:12:30,22:12:30,22:12:30,22:12:30,22:12:31,22:12:31,22:12:31,22:12:31,22:12:32,22:12:32,22:12:32,22:12:32,22:12:33,22:12:33,22:12:33,22:12:33,22:12:34,22:12:34,22:12:34,22:12:34,22:12:35,22:12:35,22:12:35,22:12:35,22:12:36,22:12:36,22:12:36,22:12:36,22:12:37,22:12:37,22:12:37,22:12:37,22:12:38,22:12:38,22:12:38,22:12:38,22:12:39,22:12:39,22:12:39,22:12:39,22:12:40,22:12:40,22:12:40,22:12:40,22:12:41,22:12:41,22:12:41
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,20/07/2022,"July 20, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
