,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
FR_Start,GMT,22:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:34:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.05233357607316692,-0.052848932342732885,-0.05289610957558696,-0.05403030647497159,-0.05542600702050794,-0.05791147108977065,-0.05980278313293625,-0.0595578526286887,-0.05901077394775674,-0.05816960755259302,-0.057502862476097795,-0.055972340154495835,-0.05577469077079129,-0.05530278399935905,-0.056155964700195196,-0.056664030498414675,-0.056610534449657614,-0.05539231074305233,-0.053694083136319,-0.051123363940690086,-0.04789996728385482,-0.04467346927395305,-0.04147209375165012,-0.03805906234075902,-0.03567243824094991,-0.03357809909841763,-0.031061105115565472,-0.027464146662469022,-0.02418451009968091,-0.022164326906161057,-0.021204969931720895,-0.020308643757017145,-0.01863382907429575,-0.017057066036800204,-0.015041704454254685,-0.012571752497484977,-0.010085238093132014,-0.007566931000447017,-0.0056472801526661846,-0.004976912374959654,-0.0050139903494658645,-0.004274235525996715,-0.0034395521809500993,-0.0018086445605217597,1.562604997903909e-05,0.0015478782496033993,0.002577028463031084,0.0034212927738010187,0.003313342006804515,0.00303281507343807,0.003722263047424215,0.005418989247888525,0.006898064629009506,0.007689963051579497,0.008718528323846916,0.010653765762427147,0.012032304978408782,0.012060028477631136,0.012151021107170382,0.012107387513940828,0.0124492918286416,0.012329080786591536,0.011869936159415987,0.012234575072630403,0.01346875012276643,0.014428753339742124,0.01591749600503384,0.017875792691155617,0.0202128043084614,0.02184539322891422,0.022866211993435956,0.023501841179337308,0.02469852346809148,0.02593428433324378,0.028151727331634704,0.029295839394271377,0.02997051660136823,0.02948209168739654,0.028185716939035526,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8756103515625,998.8806762695312,998.87060546875,998.882568359375,998.85302734375,998.871826171875,998.8790893554688,998.8558349609375,998.8580932617188,998.8658447265625,998.8568725585938,998.8517456054688,998.889404296875,998.855224609375,998.8815307617188,998.8737182617188,998.8743286132812,998.8662109375,998.8621826171875,998.8646850585938,998.847412109375,998.8775634765625,998.8502197265625,998.8671875,998.8850708007812,998.8696899414062,998.8486328125,998.8436279296875,998.8759765625,998.88818359375,998.882568359375,998.8765258789062,998.8436279296875,998.88818359375,998.8436279296875,998.864990234375,998.8615112304688,998.854248046875,998.8840942382812,998.8878784179688,998.884765625,998.8514404296875,998.8756103515625,998.8471069335938,998.8602905273438,998.8765258789062,998.8715209960938,998.8721923828125,998.8884887695312,998.8721923828125,998.8527221679688,998.8511352539062,998.8699951171875,998.882568359375,998.8477172851562,998.8480224609375,998.882568359375,998.8884887695312,998.8690185546875,998.8699951171875,998.8611450195312,998.8878784179688,998.8696899414062,998.849609375,998.8595581054688,998.8665161132812,998.8489379882812,998.8477172851562,998.8539428710938,998.8656005859375,998.8787231445312,998.8502197265625,998.8602905273438,998.85302734375,998.8517456054688,998.8658447265625,998.8471069335938,998.8671875,998.8781127929688,998.8778686523438
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.5052493446,-0.3444881895,-0.2362204728,-0.2362204728,-0.2362204728,-0.16404199500000002,-0.16404199500000002,-0.16404199500000002,-0.10826771670000002,-0.10826771670000002,-0.10826771670000002,-0.0688976379,-0.0688976379,-0.0688976379,-0.0688976379,-0.0360892389,-0.0360892389,-0.0360892389,-0.0065616798,-0.0065616798,0.0131233596,0.0131233596,0.032808399,0.032808399,0.0524934384,0.0524934384,0.0524934384,0.0524934384,0.065616798,0.065616798,0.065616798,0.0721784778,0.0721784778,0.0721784778,0.0853018374,0.0853018374,0.0853018374,0.1017060369,0.1017060369,0.1017060369,0.1017060369,0.1181102364,0.1181102364,0.1181102364,0.1246719162,0.1246719162,0.1246719162,0.1279527561,0.1279527561,0.1279527561,0.1279527561,0.1279527561,0.1279527561,0.1345144359,0.1345144359,0.1345144359,0.1345144359,0.1345144359,0.1410761157,0.1410761157,0.1410761157,0.1476377955,0.1476377955,0.1476377955,0.1574803152,0.1574803152,0.1574803152,0.1706036748,0.1706036748,0.1706036748,0.1706036748,0.1706036748,0.18044619450000002,0.18044619450000002,0.18044619450000002,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19356955409999999,0.19356955409999999
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027445608749985695,0.027777189388871193,0.027777189388871193,0.027438059449195862,0.027438059449195862,0.02782607637345791,0.02782607637345791,0.02782607637345791,0.027480460703372955,0.027480460703372955,0.027480460703372955,0.027808288112282753,0.027808288112282753,0.027808288112282753,0.027808288112282753,0.027439219877123833,0.027439219877123833,0.027439219877123833,0.02748197875916958,0.02748197875916958,0.02725706249475479,0.02725706249475479,0.02741152048110962,0.02741152048110962,0.027211029082536697,0.027211029082536697,0.027211029082536697,0.027211029082536697,0.02764003537595272,0.02764003537595272,0.02764003537595272,0.02739548496901989,0.02739548496901989,0.02739548496901989,0.02772449143230915,0.02772449143230915,0.02772449143230915,0.027315320447087288,0.027315320447087288,0.027315320447087288,0.027315320447087288,0.027675693854689598,0.027675693854689598,0.027675693854689598,0.027312470600008965,0.027312470600008965,0.027312470600008965,0.027672087773680687,0.027672087773680687,0.027672087773680687,0.027280252426862717,0.027280252426862717,0.027280252426862717,0.02765364944934845,0.02765364944934845,0.02765364944934845,0.02765364944934845,0.02765364944934845,0.02729247882962227,0.02729247882962227,0.02729247882962227,0.027619123458862305,0.027619123458862305,0.027619123458862305,0.027316037565469742,0.027316037565469742,0.027316037565469742,0.027673719450831413,0.027673719450831413,0.027673719450831413,0.027673719450831413,0.027673719450831413,0.027324888855218887,0.027324888855218887,0.027324888855218887,0.027690667659044266,0.027690667659044266,0.027690667659044266,0.02735135145485401,0.02735135145485401
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,22:34:11,22:34:11,22:34:11,22:34:11,22:34:12,22:34:12,22:34:12,22:34:13,22:34:13,22:34:13,22:34:13,22:34:13,22:34:13,22:34:13,22:34:13,22:34:13,22:34:13,22:34:14,22:34:14,22:34:14,22:34:14,22:34:14,22:34:14,22:34:14,22:34:14,22:34:14,22:34:14,22:34:15,22:34:15,22:34:15,22:34:15,22:34:15,22:34:15,22:34:15,22:34:15,22:34:15,22:34:15,22:34:16,22:34:16,22:34:16,22:34:16,22:34:16,22:34:16,22:34:16,22:34:16,22:34:16,22:34:16,22:34:17,22:34:17,22:34:17,22:34:17,22:34:17,22:34:17,22:34:17,22:34:17,22:34:17,22:34:17,22:34:18,22:34:18,22:34:18,22:34:18,22:34:18,22:34:18,22:34:18,22:34:18,22:34:18,22:34:18,22:34:19,22:34:19,22:34:19,22:34:19,22:34:19,22:34:19,22:34:19,22:34:19,22:34:19,22:34:19,22:34:20,22:34:20,22:34:20
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
