,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
FR_Start,GMT,22:57:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:57:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.04529817344715558,-0.04706007198512033,-0.04839397768886648,-0.049308446015129244,-0.04936955642038062,-0.04733739711519163,-0.0452671110281663,-0.043645867254448405,-0.04066894108407302,-0.04235955738983229,-0.04359910862787031,-0.04415116780683026,-0.0453200815274382,-0.043445339570656515,-0.037503574868064465,-0.03139194768303568,-0.028258633874581475,-0.025901443601461686,-0.02506249551400859,-0.023409708076860058,-0.024077825081953174,-0.027420171614850126,-0.03033459711825466,-0.03136164303307151,-0.031556356061803736,-0.03342606252119271,-0.03541458594151195,-0.03698009397012033,-0.03770418810642371,-0.040662830043547885,-0.0442198650688936,-0.04637002856662301,-0.049194270389477816,-0.04624672304642704,-0.04264225412452519,-0.03869431111438768,-0.03789326981131202,-0.03853624599568471,-0.03579856400634823,-0.03223545766224079,-0.03105342048210511,-0.02910770795618473,-0.027283925966342167,-0.02570666335128369,-0.021288576604905445,-0.014099545475612395,-0.0074599427223332225,-0.002197058094959194,0.0031079037200106427,0.00800629495332276,0.009186449932976697,0.01111149339208093,0.013807480515794456,0.01481592136773253,0.01623018114334373,0.017571736342067226,0.01907454203936742,0.020363352847318446,0.02188845009269421,0.022828852147185524,0.023302135430496047,0.023299946150227915,0.02386033620518376,0.02356894651534385,0.024687604566433187,0.026440461819940992,0.02672200967901517,0.026144452183464076,0.025003238281796455,0.0253511016248893,0.02541027024701382,0.026485191581064743,0.02828760937323142,0.028609318990636803,0.02941462885551928,0.029536721334171016,0.02869887017849218,0.028925449228042736,0.03008448750716206,0.03162373333911365,0.03280225055990685,0.03434537384707164,0.0327228681434853,0.031195926891631077,0.0306008582094552,0.027031723323869706,0.026373539815150202,0.023748890686886945,0.02140711704125195,0.01992682747276663,0.01919339261102057,0.02028009755896409,0.020428886118149896,0.019919320059481497,0.01816701738290135,0.01877135651355386,0.02199999338763943,0.025159700780121703,0.02489284233470983,0.029048928912893682,0.031154564313836678,0.03317535097260838,0.034509718059914186,0.03692793012819775,0.041157237666193676,0.04400801057148837,0.04317491686085835,0.04328970664608255,0.04073070231514033,0.037440350042791386,0.0335566982344986,0.033358214693762364,0.03244094139989857,0.02990269321809998,0.026665623108089717,0.02061180025538821,0.01858612323643626,0.017635810601973303,0.013782148725057626,0.009875629403119767,0.004855462319443119,0.00046442475715928596,-0.0003192303014248304,-0.00015110657711625027
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8765258789062,998.8662109375,998.8605346679688,998.8856811523438,998.855224609375,998.8637084960938,998.8753051757812,998.8477172851562,998.8837890625,998.8471069335938,998.8514404296875,998.8778686523438,998.8662109375,998.8448486328125,998.8442993164062,998.8709106445312,998.8558349609375,998.8753051757812,998.8539428710938,998.855224609375,998.857421875,998.8536376953125,998.85302734375,998.8546142578125,998.8637084960938,998.8746948242188,998.8721923828125,998.8634033203125,998.87255859375,998.8605346679688,998.8571166992188,998.8897705078125,998.8489379882812,998.8731079101562,998.8605346679688,998.8790893554688,998.8634033203125,998.8514404296875,998.8439331054688,998.8887939453125,998.8803100585938,998.8687133789062,998.8561401367188,998.858642578125,998.8618774414062,998.864013671875,998.8674926757812,998.8671875,998.8624267578125,998.8781127929688,998.8514404296875,998.8461303710938,998.889404296875,998.8611450195312,998.8630981445312,998.8577270507812,998.8656005859375,998.857421875,998.8731079101562,998.8765258789062,998.8753051757812,998.8599853515625,998.884765625,998.843017578125,998.8480224609375,998.8856811523438,998.8865966796875,998.8831787109375,998.8466796875,998.8753051757812,998.8471069335938,998.8493041992188,998.8828735351562,998.8589477539062,998.872802734375,998.8887939453125,998.8493041992188,998.8471069335938,998.8533325195312,998.8634033203125,998.8521118164062,998.8828735351562,998.8658447265625,998.8740234375,998.88818359375,998.871826171875,998.8850708007812,998.8524169921875,998.875,998.8831787109375,998.8499145507812,998.8740234375,998.8677978515625,998.8746948242188,998.871826171875,998.864013671875,998.8615112304688,998.8656005859375,998.8442993164062,998.8743286132812,998.8580932617188,998.8493041992188,998.8427124023438,998.8439331054688,998.8493041992188,998.864013671875,998.8546142578125,998.8822631835938,998.8555297851562,998.8558349609375,998.8448486328125,998.8818359375,998.85498046875,998.8646850585938,998.8809814453125,998.8461303710938,998.8524169921875,998.8768310546875,998.8853759765625,998.8890991210938,998.8737182617188,998.8546142578125,998.846435546875,998.8884887695312
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,-0.2034120738,-0.22309711320000003,-0.22309711320000003,-0.22309711320000003,-0.22309711320000003,-0.22309711320000003,-0.22309711320000003,-0.22309711320000003,-0.2395013127,-0.2395013127,-0.2395013127,-0.2395013127,-0.2395013127,-0.2395013127,-0.2395013127,-0.2395013127,-0.2591863521,-0.2591863521,-0.2591863521,-0.2591863521,-0.2591863521,-0.2591863521,-0.2591863521,-0.262467192,-0.262467192,-0.262467192,-0.262467192,-0.262467192,-0.262467192,-0.262467192,-0.262467192,-0.262467192,-0.2460629925,-0.2460629925,-0.2460629925,-0.2460629925,-0.2460629925,-0.2460629925,-0.2460629925,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003,-0.2132545935,-0.2132545935,-0.2132545935,-0.2132545935,-0.2132545935,-0.2132545935,-0.2132545935,-0.2132545935,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0426509187,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0524934384,-0.0524934384,-0.0524934384,-0.0524934384,-0.0524934384,-0.0524934384,-0.0524934384,-0.0524934384,-0.065616798,-0.065616798,-0.065616798,-0.065616798,-0.065616798,-0.065616798,-0.065616798,-0.065616798,-0.065616798,-0.065616798,-0.0787401576,-0.0787401576
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.02779741771519184,0.027911383658647537,0.027911383658647537,0.027911383658647537,0.027911383658647537,0.027911383658647537,0.027911383658647537,0.027911383658647537,0.027829764410853386,0.027829764410853386,0.027829764410853386,0.027829764410853386,0.027829764410853386,0.027829764410853386,0.027829764410853386,0.027829764410853386,0.02776161953806877,0.02776161953806877,0.02776161953806877,0.02776161953806877,0.02776161953806877,0.02776161953806877,0.02776161953806877,0.02776161953806877,0.027754556387662888,0.027754556387662888,0.027754556387662888,0.027754556387662888,0.027754556387662888,0.027754556387662888,0.027754556387662888,0.027754556387662888,0.027843639254570007,0.027843639254570007,0.027843639254570007,0.027843639254570007,0.027843639254570007,0.027843639254570007,0.027843639254570007,0.028012502938508987,0.028012502938508987,0.028012502938508987,0.028012502938508987,0.028012502938508987,0.028012502938508987,0.028012502938508987,0.028012502938508987,0.028012502938508987,0.028012502938508987,0.02769058384001255,0.02769058384001255,0.02769058384001255,0.02769058384001255,0.02769058384001255,0.02769058384001255,0.02769058384001255,0.02769058384001255,0.027591781690716743,0.027591781690716743,0.027591781690716743,0.027591781690716743,0.027591781690716743,0.027591781690716743,0.027591781690716743,0.027591781690716743,0.027591781690716743,0.027591781690716743,0.02764863334596157,0.02764863334596157,0.02764863334596157,0.02764863334596157,0.02764863334596157,0.02764863334596157,0.02764863334596157,0.02764863334596157,0.02764769271016121,0.02764769271016121,0.02764769271016121,0.02764769271016121,0.02764769271016121,0.02764769271016121,0.02764769271016121,0.02764769271016121,0.02764769271016121,0.02764769271016121,0.02764769271016121,0.027572672814130783,0.027572672814130783,0.027572672814130783,0.027572672814130783,0.027572672814130783,0.027572672814130783,0.027572672814130783,0.027572672814130783,0.027597039937973022,0.027597039937973022,0.027597039937973022,0.027597039937973022,0.027597039937973022,0.027597039937973022,0.027597039937973022,0.027597039937973022,0.027597039937973022,0.027597039937973022,0.027817940339446068,0.027817940339446068,0.027817940339446068,0.027817940339446068,0.027817940339446068,0.027817940339446068,0.027817940339446068,0.027817940339446068,0.02805750072002411,0.02805750072002411,0.02805750072002411,0.02805750072002411,0.02805750072002411,0.02805750072002411,0.02805750072002411,0.02805750072002411,0.02805750072002411,0.02805750072002411,0.027810636907815933,0.027810636907815933
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,22:57:27,22:57:27,22:57:27,22:57:27,22:57:28,22:57:28,22:57:28,22:57:28,22:57:29,22:57:29,22:57:29,22:57:29,22:57:30,22:57:30,22:57:30,22:57:30,22:57:31,22:57:31,22:57:31,22:57:31,22:57:32,22:57:32,22:57:32,22:57:32,22:57:33,22:57:33,22:57:33,22:57:33,22:57:34,22:57:34,22:57:34,22:57:34,22:57:35,22:57:35,22:57:35,22:57:35,22:57:36,22:57:36,22:57:36,22:57:36,22:57:37,22:57:37,22:57:37,22:57:37,22:57:38,22:57:38,22:57:38,22:57:38,22:57:39,22:57:39,22:57:39,22:57:39,22:57:39,22:57:39,22:57:39,22:57:39,22:57:40,22:57:40,22:57:40,22:57:40,22:57:40,22:57:40,22:57:40,22:57:40,22:57:40,22:57:40,22:57:41,22:57:41,22:57:41,22:57:41,22:57:41,22:57:41,22:57:41,22:57:41,22:57:41,22:57:41,22:57:42,22:57:42,22:57:42,22:57:42,22:57:42,22:57:42,22:57:42,22:57:43,22:57:43,22:57:43,22:57:43,22:57:44,22:57:44,22:57:44,22:57:44,22:57:45,22:57:45,22:57:45,22:57:45,22:57:46,22:57:46,22:57:46,22:57:46,22:57:47,22:57:47,22:57:47,22:57:47,22:57:48,22:57:48,22:57:48,22:57:48,22:57:49,22:57:49,22:57:49,22:57:49,22:57:50,22:57:50,22:57:50,22:57:50,22:57:51,22:57:51,22:57:51,22:57:51,22:57:52,22:57:52,22:57:52,22:57:52,22:57:53
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
